ID Number,Target Child Gender,gender,age_yrs,gender_matches,missing_age
1,female,female,8.85,TRUE,FALSE
2,female,female,7.36,TRUE,FALSE
3,female,female,8.43,TRUE,FALSE
5,male,male,8.31,TRUE,FALSE
6,female,female,8.38,TRUE,FALSE
8,female,male,8.65,FALSE,FALSE
9,male,male,8.18,TRUE,FALSE
11,female,female,8.12,TRUE,FALSE
12,female,female,7.25,TRUE,FALSE
13,female,female,8.32,TRUE,FALSE
14,male,male,8.13,TRUE,FALSE
15,female,female,7.92,TRUE,FALSE
18,female,female,8.28,TRUE,FALSE
19,male,male,8.86,TRUE,FALSE
21,female,female,8.64,TRUE,FALSE
22,female,female,8.66,TRUE,FALSE
23,male,male,7.79,TRUE,FALSE
24,male,male,8.82,TRUE,FALSE
26,female,female,7.12,TRUE,FALSE
28,male,male,7.47,TRUE,FALSE
30,male,male,8.71,TRUE,FALSE
31,female,female,8.5,TRUE,FALSE
32,male,male,8.69,TRUE,FALSE
33,male,male,8.63,TRUE,FALSE
35,male,male,8.47,TRUE,FALSE
36,male,male,8.4,TRUE,FALSE
37,female,female,8.01,TRUE,FALSE
38,female,female,8.12,TRUE,FALSE
39,female,female,8.84,TRUE,FALSE
41,female,female,7.91,TRUE,FALSE
42,male,male,7.83,TRUE,FALSE
47,female,female,7.93,TRUE,FALSE
49,female,female,7.67,TRUE,FALSE
50,female,female,7.67,TRUE,FALSE
51,male,male,7.59,TRUE,FALSE
52,female,female,7.63,TRUE,FALSE
53,male,male,7.32,TRUE,FALSE
54,male,male,7.51,TRUE,FALSE
57,male,male,7.37,TRUE,FALSE
58,male,male,7.39,TRUE,FALSE
59,male,male,8.79,TRUE,FALSE
60,female,female,7.37,TRUE,FALSE
62,female,male,NA,FALSE,TRUE
62,female,female,7.91,TRUE,FALSE
63,male,male,7.81,TRUE,FALSE
66,male,male,7.95,TRUE,FALSE
68,male,male,7.86,TRUE,FALSE
69,male,male,7.85,TRUE,FALSE
70,male,female,8.1,FALSE,FALSE
72,female,male,7.44,FALSE,FALSE
