Subject,Speaker,Prosody,Happy_rating,Angry_rating,Sad_Rating,F0_Mean,F0_SD,Speech_Rate
1,0,1,1,2,2,218.5070616,69.91716754,3.339377178
1,0,1,1,4,2,187.4916268,38.18182716,3.402763241
1,1,1,1,4,1,355.2504865,92.22898349,4.300590878
1,1,1,1,2,2,223.697381,53.22895984,3.663196097
1,0,1,2,3,2,189.1717061,44.51842372,3.536239943
1,0,1,1,4,2,222.4763003,93.85046551,3.758132548
1,1,1,1,4,2,195.5622466,51.38044526,4.510182057
1,1,1,1,3,2,208.060511,48.82741616,5.905519881
1,0,1,1,4,2,156.3604455,31.97087403,2.716777194
1,0,1,1,4,2,193.1583262,81.51523987,3.57199622
1,1,1,1,3,2,239.7410023,38.94918162,3.747106434
1,1,1,1,3,2,215.3200842,32.89353879,4.444265281
1,0,1,1,3,2,159.7058869,24.34637977,3.133236152
1,0,1,1,3,2,157.311605,18.07584484,2.88472961
1,1,1,1,3,2,209.9818233,43.15888043,3.54657681
1,1,1,1,2,2,187.0955769,29.08070816,3.856767038
1,0,2,1,3,2,323.2583403,140.3286981,3.987983831
1,0,2,3,3,1,328.8080238,112.8377348,3.797627016
1,1,2,2,2,1,332.9626087,120.5405711,4.626606322
1,1,2,3,1,1,342.0992559,106.0983571,3.788889014
1,0,2,4,1,1,281.1690526,99.62020846,3.708866971
1,0,2,3,1,1,283.2164664,132.2757975,4.354209287
1,1,2,4,1,1,334.7197233,132.1775847,3.906256669
1,1,2,3,1,1,328.3928494,98.42562363,5.234973365
1,0,2,4,1,1,270.2601478,133.6817369,3.065767544
1,0,2,3,1,2,276.1880536,114.2339768,3.610039372
1,1,2,3,2,1,333.66127,74.20508055,3.937748738
1,1,2,4,1,1,321.6086315,86.79428686,4.255246279
1,0,2,4,1,1,273.1917016,145.5940827,3.155330213
1,0,2,4,2,1,260.5194607,124.7851449,3.384436382
1,1,2,3,1,1,361.9888844,93.45122013,3.787501172
1,1,2,3,1,1,311.8555867,94.97776699,3.889428272
1,0,3,1,2,3,201.9497708,41.70506025,3.185574323
1,0,3,1,2,3,188.3717949,22.10759296,3.162469541
1,1,3,1,2,4,168.0465104,27.5571806,4.395435164
1,1,3,1,2,1,167.8883202,39.31292693,3.936062855
1,0,3,1,2,2,167.6237363,22.30678504,3.334165283
1,0,3,1,2,3,169.3536705,19.72842499,3.970894352
1,1,3,1,2,2,162.8146196,29.92128778,3.776994731
1,1,3,1,2,1,174.9069473,29.99601007,4.014838955
1,0,3,1,3,2,183.1447944,23.50099049,2.96823625
1,0,3,1,2,2,201.019269,49.69898772,3.4825025
1,1,3,1,2,2,169.9028302,30.27800365,2.724767687
1,1,3,1,2,4,188.5849525,33.21166386,3.541353484
1,0,3,1,2,2,183.1859157,37.41559435,3.251107554
1,0,3,1,2,2,162.0041954,13.65285208,2.93519882
1,1,3,1,2,4,170.4720008,40.9847178,3.778460334
1,1,3,1,2,3,158.267141,34.28767002,3.248596531
2,0,1,1,3,4,287.4205304,89.97333919,4.051274709
2,0,1,1,4,3,259.5251101,59.40099549,3.732060298
2,1,1,1,4,3,209.1105243,28.15473405,3.66189263
2,1,1,1,4,3,206.8385507,27.94213212,3.373628503
2,0,1,1,4,2,223.5661916,48.11495197,4.45929528
2,0,1,2,4,2,228.942421,44.45391132,4.183628795
2,1,1,1,2,2,191.9042652,23.47437711,3.459798429
2,1,1,1,4,4,207.4739967,29.33644156,3.67637566
2,0,1,3,3,2,239.2708124,33.64271373,3.934157068
2,0,1,2,4,4,251.6249706,56.13578239,3.538378007
2,1,1,1,1,4,213.2641689,43.92167327,2.543912793
2,1,1,2,3,3,238.6922856,60.53661165,3.294176924
2,0,1,1,4,2,208.1673138,46.82718309,3.62418448
2,0,1,2,2,3,230.0568406,52.7107928,3.620199042
2,1,1,1,4,1,212.8223629,32.03303789,3.005145265
2,1,1,4,2,2,211.9138978,28.11032842,3.302861496
2,0,2,3,1,1,327.3966775,99.36059494,3.98213102
2,0,2,4,2,3,383.5907426,74.68399922,5.157484151
2,1,2,3,1,3,276.0986202,75.58309003,3.739038064
2,1,2,3,4,2,287.3001717,77.98128491,2.882195419
2,0,2,4,3,3,331.3015004,66.25968002,5.267522883
2,0,2,4,2,2,332.0913301,90.92966214,4.963276304
2,1,2,4,2,1,292.9942717,73.98924986,3.507614425
2,1,2,4,1,1,285.7362324,83.22291613,3.833806851
2,0,2,1,1,4,319.6069375,73.39681313,3.833149907
2,0,2,4,4,2,326.4501566,67.95083149,4.198497355
2,1,2,4,2,1,295.2186643,84.54566085,2.447696339
2,1,2,4,3,2,307.1089288,70.57830575,3.138000378
2,0,2,3,1,2,371.3122638,103.9380385,3.968642953
2,0,2,2,4,3,339.5634117,92.63290159,3.937459116
2,1,2,3,2,3,323.7000861,73.06720461,2.832362304
2,1,2,3,2,1,305.3049964,92.82481658,2.891116376
2,0,3,2,2,4,198.7989883,25.31540616,3.739930446
2,0,3,2,1,2,192.6045515,30.59046155,3.513107406
2,1,3,1,3,3,209.923132,21.38863775,2.611238135
2,1,3,1,2,3,191.9547319,24.59000294,2.877563664
2,0,3,3,3,2,193.7062667,26.94191884,3.769062278
2,0,3,4,1,4,190.1053361,20.62018655,3.88552051
2,1,3,1,3,4,193.3226198,19.60274931,3.112470507
2,1,3,3,1,4,180.4921844,28.85849584,3.561829226
2,0,3,1,4,3,211.5480872,21.20492909,3.205367824
2,0,3,4,2,4,190.6579486,19.5400708,3.722545241
2,1,3,2,3,1,202.3236751,27.40436838,2.420401312
2,1,3,2,2,1,206.5669195,22.59367324,2.702416118
2,0,3,1,1,4,180.3633184,26.11621509,3.267810734
2,0,3,4,2,2,189.7627192,21.23845999,3.023076705
2,1,3,1,2,4,203.0758322,12.6909922,2.475670349
2,1,3,1,1,4,203.3958021,15.33549362,2.799059059
3,0,1,2,4,2,218.8411237,26.51769449,4.067197682
3,0,1,3,2,3,226.7875908,30.1922409,4.242874499
3,1,1,1,4,2,355.2504865,92.22898349,4.300590878
3,1,1,2,3,1,223.697381,53.22895984,3.663196097
3,0,1,1,4,2,200.7330308,35.47709912,4.169791704
3,0,1,1,4,2,218.5997199,62.96487224,5.978848783
3,1,1,1,4,2,195.5622466,51.38044526,4.510182057
3,1,1,1,4,1,208.060511,48.82741616,5.905519881
3,0,1,2,3,3,217.1853328,49.89351318,3.870957647
3,0,1,1,3,1,214.4799392,42.20526384,4.866241897
3,1,1,1,4,3,239.7410023,38.94918162,3.747106434
3,1,1,1,3,2,215.3200842,32.89353879,4.444265281
3,0,1,3,4,3,212.2635885,38.39533845,3.506529609
3,0,1,2,3,2,222.3193556,22.75142842,3.853078975
3,1,1,1,3,3,209.9818233,43.15888043,3.54657681
3,1,1,2,4,3,187.0955769,29.08070816,3.856767038
3,0,2,3,2,3,265.1213829,60.76462207,4.486628642
3,0,2,3,2,1,277.064705,30.98305814,5.278542447
3,1,2,4,1,1,332.9626087,120.5405711,4.626606322
3,1,2,2,3,2,342.0992559,106.0983571,3.788889014
3,0,2,4,1,1,300.3181259,71.31113075,5.310196919
3,0,2,2,3,1,244.316206,52.43116519,6.269779578
3,1,2,2,3,2,334.7197233,132.1775847,3.906256669
3,1,2,2,3,1,328.3928494,98.42562363,5.234973365
3,0,2,3,1,1,259.0362457,33.96278035,4.634428063
3,0,2,2,3,2,258.9117798,44.10620269,5.500290658
3,1,2,3,2,2,333.66127,74.20508055,3.937748738
3,1,2,2,1,1,321.6086315,86.79428686,4.255246279
3,0,2,4,1,2,304.2163509,70.02235603,4.790508904
3,0,2,2,3,1,298.8941691,57.80554702,4.817188394
3,1,2,4,2,2,361.9888844,93.45122013,3.787501172
3,1,2,2,1,2,311.8555867,94.97776699,3.889428272
3,0,3,1,3,3,194.6563272,17.18731354,3.79124192
3,0,3,1,2,4,193.8117668,21.53801323,3.064991007
3,1,3,1,3,4,168.0465104,27.5571806,4.395435164
3,1,3,2,3,3,167.8883202,39.31292693,3.936062855
3,0,3,1,2,4,181.3513499,18.67160222,4.022991935
3,0,3,1,3,3,183.9763687,24.28013478,5.488322251
3,1,3,1,3,4,162.8146196,29.92128778,3.776994731
3,1,3,3,2,3,174.9069473,29.99601007,4.014838955
3,0,3,2,3,3,191.1329898,14.08031811,3.258297304
3,0,3,2,3,4,188.0226413,17.05408547,4.175568776
3,1,3,2,2,4,169.9028302,30.27800365,2.724767687
3,1,3,1,2,4,188.5849525,33.21166386,3.541353484
3,0,3,1,2,4,178.1093158,19.04450189,3.971038747
3,0,3,2,1,4,180.8089253,16.4858498,3.521706163
3,1,3,2,2,4,170.4720008,40.9847178,3.778460334
3,1,3,2,2,3,158.267141,34.28767002,3.248596531
5,0,1,1,4,2,269.5932727,84.34837579,4.453166556
5,0,1,1,3,2,261.5485778,72.71894882,4.266853365
5,1,1,1,4,1,177.1963752,34.93699503,3.999343169
5,1,1,2,2,2,187.7799113,39.22782712,3.748613375
5,0,1,1,4,1,215.8253272,43.90655016,4.147281667
5,0,1,1,4,1,220.5053886,41.91077574,5.612144603
5,1,1,1,4,1,165.8478015,36.2571233,3.987760936
5,1,1,2,1,3,161.6700335,26.25191473,5.087516822
5,0,1,2,3,2,221.8505328,46.07652769,3.849807094
5,0,1,1,4,1,232.6159275,55.30643652,4.282495049
5,1,1,2,3,1,198.4718916,55.29127509,3.70804165
5,1,1,1,4,1,189.6181296,38.1828403,4.179262764
5,0,1,1,4,1,206.9950476,43.31821031,3.986006932
5,0,1,1,4,1,245.9264006,53.48464417,3.693679561
5,1,1,2,4,2,197.63233,84.10852813,3.287273124
5,1,1,2,3,1,174.9874456,29.09546767,3.751038065
5,0,2,3,1,1,402.3067614,149.4713202,4.680610227
5,0,2,3,1,2,365.7519544,127.453517,3.868598884
5,1,2,4,1,1,335.3401814,90.98810441,4.613753822
5,1,2,4,3,2,347.8802021,151.0794584,4.316274971
5,0,2,4,1,1,411.6308671,135.4069105,4.330398726
5,0,2,4,1,1,374.8463505,102.1268806,5.601958113
5,1,2,4,2,1,266.2206739,77.68332456,4.772934024
5,1,2,4,1,1,298.3420315,154.6670684,5.142479584
5,0,2,4,1,2,365.107729,130.0228534,3.746408173
5,0,2,4,1,1,351.1119354,96.29556233,4.094554551
5,1,2,4,1,1,294.1501317,118.6890864,3.81036251
5,1,2,4,1,2,279.5469381,101.8992481,4.930369827
5,0,2,4,1,1,381.5698229,131.482518,3.803776894
5,0,2,4,1,4,372.5183744,131.0494603,3.973378053
5,1,2,4,1,1,346.2151148,91.54707454,4.289271598
5,1,2,4,1,1,250.9575891,102.1296518,4.171879508
5,0,3,1,1,4,188.3816793,22.81056794,3.924115577
5,0,3,1,1,4,181.7382491,22.16369343,3.738057843
5,1,3,1,2,3,186.6627643,22.65778636,3.338889291
5,1,3,3,1,3,172.1296906,35.00325714,3.561511244
5,0,3,2,1,3,203.4587968,23.7993334,3.789754025
5,0,3,2,3,1,173.0934902,22.0809658,4.5581819
5,1,3,1,1,4,163.6242293,17.86020665,3.736787907
5,1,3,1,1,4,152.6533091,17.68528946,4.281012179
5,0,3,2,1,4,207.0690723,39.4695966,3.377256491
5,0,3,2,1,4,184.7843042,35.19465031,3.415226157
5,1,3,1,1,4,174.7228021,19.3229153,3.288540294
5,1,3,1,1,4,168.3006332,15.48340838,3.730883047
5,0,3,1,1,3,209.9507591,42.31613965,3.704504428
5,0,3,1,2,4,187.3601711,23.25888222,3.338337746
5,1,3,1,1,4,164.6401993,20.59461338,2.976101406
5,1,3,1,1,4,160.0317879,15.2412543,3.113641169
6,1,1,1,3,1,218.8411237,26.51769449,4.067197682
6,1,1,1,3,1,226.7875908,30.1922409,4.242874499
6,0,1,1,3,2,355.2504865,92.22898349,4.300590878
6,0,1,1,3,1,223.697381,53.22895984,3.663196097
6,1,1,1,2,1,200.7330308,35.47709912,4.169791704
6,1,1,1,3,1,218.5997199,62.96487224,5.978848783
6,0,1,1,3,1,195.5622466,51.38044526,4.510182057
6,0,1,1,4,1,208.060511,48.82741616,5.905519881
6,1,1,1,2,1,217.1853328,49.89351318,3.870957647
6,1,1,1,4,1,214.4799392,42.20526384,4.866241897
6,0,1,1,1,1,239.7410023,38.94918162,3.747106434
6,0,1,1,4,1,215.3200842,32.89353879,4.444265281
6,1,1,1,3,1,212.2635885,38.39533845,3.506529609
6,1,1,1,2,2,222.3193556,22.75142842,3.853078975
6,0,1,1,2,1,209.9818233,43.15888043,3.54657681
6,0,1,1,3,1,187.0955769,29.08070816,3.856767038
6,1,2,1,2,1,265.1213829,60.76462207,4.486628642
6,1,2,1,1,1,277.064705,30.98305814,5.278542447
6,0,2,2,1,1,332.9626087,120.5405711,4.626606322
6,0,2,3,1,1,342.0992559,106.0983571,3.788889014
6,1,2,4,1,1,300.3181259,71.31113075,5.310196919
6,1,2,1,1,1,244.316206,52.43116519,6.269779578
6,0,2,4,1,1,334.7197233,132.1775847,3.906256669
6,0,2,1,4,1,328.3928494,98.42562363,5.234973365
6,1,2,1,1,1,259.0362457,33.96278035,4.634428063
6,1,2,1,1,1,258.9117798,44.10620269,5.500290658
6,0,2,3,1,1,333.66127,74.20508055,3.937748738
6,0,2,3,1,1,321.6086315,86.79428686,4.255246279
6,1,2,4,1,1,304.2163509,70.02235603,4.790508904
6,1,2,2,1,1,298.8941691,57.80554702,4.817188394
6,0,2,3,1,1,361.9888844,93.45122013,3.787501172
6,0,2,3,1,1,311.8555867,94.97776699,3.889428272
6,1,3,1,1,3,194.6563272,17.18731354,3.79124192
6,1,3,1,1,1,193.8117668,21.53801323,3.064991007
6,0,3,1,1,3,168.0465104,27.5571806,4.395435164
6,0,3,1,1,2,167.8883202,39.31292693,3.936062855
6,1,3,1,1,2,181.3513499,18.67160222,4.022991935
6,1,3,1,1,3,183.9763687,24.28013478,5.488322251
6,0,3,1,1,3,162.8146196,29.92128778,3.776994731
6,0,3,1,1,3,174.9069473,29.99601007,4.014838955
6,1,3,1,1,1,191.1329898,14.08031811,3.258297304
6,1,3,1,1,2,188.0226413,17.05408547,4.175568776
6,0,3,1,1,2,169.9028302,30.27800365,2.724767687
6,0,3,1,1,3,188.5849525,33.21166386,3.541353484
6,1,3,1,1,4,178.1093158,19.04450189,3.971038747
6,1,3,1,1,2,180.8089253,16.4858498,3.521706163
6,0,3,1,1,2,170.4720008,40.9847178,3.778460334
6,0,3,1,1,2,158.267141,34.28767002,3.248596531
8,0,1,1,3,1,286.2935271,109.299277,3.82106256
8,0,1,1,3,1,255.9117445,76.83064682,4.191984619
8,1,1,1,3,1,325.8666017,88.64524259,2.842302184
8,1,1,1,3,3,298.5677142,67.49971513,3.42402568
8,0,1,1,4,2,266.2763276,67.05245974,4.300911101
8,0,1,1,3,2,222.7578947,61.89908879,5.376081478
8,1,1,1,4,2,250.6056354,50.25509217,3.159293985
8,1,1,1,4,1,257.7733608,66.04116981,3.947215391
8,0,1,1,3,2,243.7506818,62.2850132,3.772578903
8,0,1,1,1,2,242.4417497,53.30353091,4.380083239
8,1,1,1,4,2,302.4950874,63.79673605,2.655265913
8,1,1,1,3,1,267.0469156,54.52967205,2.958704127
8,0,1,1,3,2,199.9384056,41.04425967,3.686754346
8,0,1,1,3,1,223.5660722,53.74034433,4.370774938
8,1,1,1,2,2,246.3631407,44.36093513,3.020579045
8,1,1,1,3,2,275.7638178,56.95946625,3.066881798
8,0,2,3,1,1,282.7474167,132.9106458,4.17401938
8,0,2,3,1,1,286.5671032,127.892868,3.894995117
8,1,2,1,2,2,337.3560308,121.4188893,3.314876431
8,1,2,3,1,1,359.7223377,125.1836736,3.370210919
8,0,2,4,1,1,335.1262284,103.0601935,3.821200926
8,0,2,4,1,1,278.9303179,93.30306809,4.910266873
8,1,2,3,1,1,313.8108365,90.61196318,3.548835813
8,1,2,3,1,1,334.3917347,108.9990116,4.577497388
8,0,2,2,1,1,234.2134641,84.89452584,3.531792907
8,0,2,3,1,1,261.1502746,69.62449961,3.974776365
8,1,2,3,2,1,302.3577013,78.1762946,3.109091295
8,1,2,3,1,1,340.8571168,86.11263554,3.722598924
8,0,2,3,1,1,233.7359425,84.48893399,4.204372011
8,0,2,3,1,2,262.9707409,81.84279076,3.834772175
8,1,2,3,1,1,372.3222543,149.7157486,3.331671773
8,1,2,3,1,1,336.2250785,118.2613814,3.319363255
8,0,3,1,1,4,157.2404888,25.84341,3.902500633
8,0,3,1,2,3,163.8805304,23.33151522,3.908216709
8,1,3,1,2,3,192.7572799,25.67559564,3.239964025
8,1,3,1,1,3,200.5233865,23.21584186,2.627803928
8,0,3,1,1,3,161.0946601,20.14100246,4.223349182
8,0,3,1,1,3,160.0222372,35.44545787,4.258383658
8,1,3,1,1,4,199.7483222,20.61176678,2.992343592
