fam_id,age_yrs,gender
1,8.85,Female
2,7.36,Female
3,8.43,Female
5,8.31,Male
6,8.38,Female
7,7.15,Female
8,8.65,Male
9,8.18,Male
11,8.12,Female
12,7.25,Female
13,8.32,Female
14,8.13,Male
15,7.92,Female
18,8.28,Female
19,8.86,Male
21,8.64,Female
22,8.66,Female
23,7.79,Male
24,8.82,Male
26,7.12,Female
28,7.47,Male
30,8.71,Male
31,8.5,Female
32,8.69,Male
33,8.63,Male
35,8.47,Male
36,8.4,Male
37,8.01,Female
38,8.12,Female
39,8.84,Female
41,7.91,Female
42,7.83,Male
47,7.93,Female
48,7.56,Female
49,7.67,Female
50,7.67,Female
51,7.59,Male
52,7.63,Female
53,7.32,Male
54,7.51,Male
56,7.55,Female
57,7.37,Male
58,7.39,Male
59,8.79,Male
60,7.37,Female
61,7.37,Female
62,NA,Male
62,7.91,Female
63,7.81,Male
66,7.95,Male
68,7.86,Male
69,7.85,Male
70,8.1,Female
72,7.44,Male
