fam_id,nov_id,run,order,sound_index,snd_file,happy_rating,angry_rating,sad_rating,how_feel,know_speaker,scared.rating
1,6,1,4,1,wav/006/norm/006-neu-hlp-a.wav,2,2,1,1,1,NA
1,6,1,4,2,wav/001/norm/001-hap-tlk-a.wav,4,1,1,1,2,NA
1,6,1,4,3,wav/006/norm/006-ang-chk-a.wav,1,4,1,1,5,NA
1,6,1,4,4,wav/006/norm/006-sad-tlk-a.wav,1,2,4,1,3,NA
1,6,1,4,5,wav/001/norm/001-neu-hlp-a.wav,1,2,3,1,4,NA
1,6,1,4,6,wav/006/norm/006-ang-din-a.wav,1,4,2,2,3,NA
1,6,1,4,7,wav/001/norm/001-hap-chk-a.wav,1,3,2,2,4,NA
1,6,1,4,8,wav/001/norm/001-sad-tlk-a.wav,1,2,2,3,4,NA
1,6,1,4,9,wav/006/norm/006-neu-din-a.wav,1,2,2,1,5,NA
1,6,1,4,10,wav/001/norm/001-ang-chk-a.wav,1,2,2,1,4,NA
1,6,1,4,11,wav/006/norm/006-sad-din-a.wav,1,2,2,1,4,NA
1,6,1,4,12,wav/001/norm/001-neu-tlk-a.wav,1,3,2,1,4,NA
1,6,1,4,13,wav/006/norm/006-hap-chk-a.wav,2,2,1,1,4,NA
1,6,1,4,14,wav/001/norm/001-ang-hlp-a.wav,1,4,2,1,3,NA
1,6,1,4,15,wav/006/norm/006-sad-chk-a.wav,1,2,4,1,1,NA
1,6,1,4,16,wav/001/norm/001-hap-hlp-a.wav,4,1,1,1,2,NA
1,6,1,4,17,wav/006/norm/006-neu-tlk-a.wav,1,2,2,1,3,NA
1,6,1,4,18,wav/001/norm/001-sad-din-a.wav,1,2,2,1,4,NA
1,6,1,4,19,wav/006/norm/006-ang-hlp-a.wav,1,3,2,1,4,NA
1,6,1,4,20,wav/001/norm/001-neu-chk-a.wav,1,3,1,1,4,NA
1,6,1,4,21,wav/001/norm/001-sad-hlp-a.wav,1,3,2,2,4,NA
